,Clay_Up,Silt_Up,Sand_Up,Clay_Down,Silt_Down,Sand_Down,OC_Up,OC_Down,BD_Up,BD_Down,AWC_Up,AWC_Down,K_Up,K_Down,PCP_WW,PCP_SM,IRR_SM,PCP_RY,TMP_AV,TMP_MX,TMP_MN
1050,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,173.8,299.8,26,620.1,8.38191338582677,13.4234330708661,3.34038976377953
1051,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,218.6,592.3,26,695.4,9.75483529411765,15.2511254901961,4.25854901960784
1052,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,141.5,282.0,26,418.4,8.77016141732284,14.1883543307087,3.35197244094488
1053,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,117.3,512.9,26,645.9,9.41909448818897,15.1763779527559,3.66181102362205
1054,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,124.3,265.3,26,448.0,11.2506299212598,16.1825708661417,6.3186811023622
1055,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,188.3,343.2,26,525.0,10.3390196078431,14.9419607843137,5.73607843137255
1056,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,141.8,427.7,26,600.3,10.8493661417323,16.1492952755905,5.54943307086614
1057,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,115.5,318.0,26,390.6,8.77677165354331,13.3622047244094,4.19133858267717
1058,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,46.2,357.8,26,460.9,10.2729881889764,15.5132401574803,5.03273228346457
1059,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,20.44,14.57,116.2,422.2,26,531.3,9.99372549019608,14.4560784313725,5.53137254901961
1060,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,58.4,493.2,26,612.7,8.36929133858268,14.4897637795276,2.2488188976378
1061,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,121.5,217.2,64,405.2,8.84638188976378,14.6361023622047,3.05666141732283
1062,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,154.2,443.0,26,578.1,9.12204724409449,14.7185039370079,3.5255905511811
1063,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,55.6,738.6,26,797.4,9.11292549019608,14.8835333333333,3.3423137254902
1064,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,119.9,130.5,213,251.5,9.25840551181103,14.6518267716535,3.86498818897638
1065,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,215.2,155.9,64,360.7,9.47631496062992,14.7621692913386,4.19045275590551
1066,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,43.5,350.1,26,431.9,10.3115748031496,15.9250708661417,4.69807480314961
1067,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,74.3,495.4,26,628.2,9.24686274509804,14.638431372549,3.85529411764706
1068,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,126.8,251.8,64,332.8,9.04625984251969,14.1405511811024,3.95196850393701
1069,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,122.4,261.8,64,407.9,10.5053149606299,16.3555118110236,4.65511811023622
1070,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,173.8,299.8,26,620.1,8.38191338582677,13.4234330708661,3.34038976377953
1071,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,218.6,592.3,26,695.4,9.75483529411765,15.2511254901961,4.25854901960784
1072,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,141.5,282.0,26,418.4,8.77016141732284,14.1883543307087,3.35197244094488
